Thread Count,true Throughput,false Throughput
1,326815.383333,337521.100000
4,474317.750000,1352925.550000
8,234063.100000,969578.566667
12,203656.433333,644964.083333
16,214095.283333,1238191.533333
20,197167.533333,1229428.450000
24,197975.466667,1553618.200000
28,188969.533333,1208975.566667
32,188893.700000,1208027.316667
36,188863.100000,1561203.066667
40,150647.150000,1232249.366667
44,157279.800000,899845.150000
48,171423.266667,1845132.650000
52,N/A,821421.216667
56,159358.350000,1213848.600000
60,N/A,895085.866667
64,159791.066667,905236.716667
