thread,boc,lockfree,mutex
1,73.2541,3.799435,2.921897
4,24.6114,1.297578,2.411642
8,14.5063,1.984662,2.176518
12,11.9119,1.552322,2.257426
16,11.0063,2.174782,2.293499
20,9.93725,2.269634,2.149842
24,10.6537,2.085376,2.146238
28,9.96229,2.083749,2.235209
32,10.2522,1.596147,2.111779
36,11.0671,2.771474,2.423804
40,11.095,3.236789,2.341177
44,13.164,3.637762,2.364159
48,11.3581,3.28455,2.335825
52,10.8802,3.84729,2.349468
56,10.2397,3.932978,2.251447
60,10.4702,3.758496,1.942414
64,11.4608,3.714852,2.150037
